day,home team,away team
84,Detroit Pistons,San Antonio Spurs
84,Boston Celtics,Brooklyn Nets
84,Houston Rockets,Denver Nuggets
84,Milwaukee Bucks,Utah Jazz
84,New Orleans Pelicans,Memphis Grizzlies
84,Dallas Mavericks,Los Angeles Lakers
84,Portland Trail Blazers,New York Knicks
84,Sacramento Kings,Orlando Magic
85,Cleveland Cavaliers,Indiana Pacers
85,Philadelphia 76ers,Washington Wizards
85,Miami Heat,Denver Nuggets
85,Toronto Raptors,Atlanta Hawks
85,Oklahoma City Thunder,Minnesota Timberwolves
85,Phoenix Suns,Sacramento Kings
85,Golden State Warriors,New York Knicks
85,LA Clippers,Charlotte Hornets
86,Boston Celtics,Indiana Pacers
86,Washington Wizards,Philadelphia 76ers
86,Brooklyn Nets,Atlanta Hawks
86,Houston Rockets,Milwaukee Bucks
86,Memphis Grizzlies,San Antonio Spurs
86,New Orleans Pelicans,Cleveland Cavaliers
86,Dallas Mavericks,Phoenix Suns
86,Utah Jazz,Orlando Magic
86,Portland Trail Blazers,Chicago Bulls
86,Los Angeles Lakers,Detroit Pistons
87,Miami Heat,Boston Celtics
87,Denver Nuggets,LA Clippers
87,San Antonio Spurs,Oklahoma City Thunder
87,Sacramento Kings,Detroit Pistons
88,Philadelphia 76ers,Atlanta Hawks
88,Washington Wizards,Milwaukee Bucks
88,New York Knicks,Indiana Pacers
88,Toronto Raptors,Brooklyn Nets
88,Houston Rockets,Cleveland Cavaliers
88,Minnesota Timberwolves,Dallas Mavericks
88,Utah Jazz,Los Angeles Lakers
88,Portland Trail Blazers,Charlotte Hornets
88,Golden State Warriors,Chicago Bulls
89,LA Clippers,Detroit Pistons
89,Miami Heat,Memphis Grizzlies
89,Orlando Magic,Boston Celtics
89,Minnesota Timberwolves,New Orleans Pelicans
89,Oklahoma City Thunder,San Antonio Spurs
89,Phoenix Suns,Denver Nuggets
89,Sacramento Kings,Charlotte Hornets
89,Utah Jazz,Chicago Bulls
90,New York Knicks,Philadelphia 76ers
90,Washington Wizards,Toronto Raptors
90,Atlanta Hawks,Milwaukee Bucks
90,Orlando Magic,Houston Rockets
90,Dallas Mavericks,Golden State Warriors
90,Denver Nuggets,Portland Trail Blazers
90,Los Angeles Lakers,Cleveland Cavaliers
91,Brooklyn Nets,Boston Celtics
91,Houston Rockets,Memphis Grizzlies
91,San Antonio Spurs,Charlotte Hornets
91,Utah Jazz,Detroit Pistons
91,Sacramento Kings,Portland Trail Blazers
91,LA Clippers,New Orleans Pelicans
92,Indiana Pacers,Phoenix Suns
92,Philadelphia 76ers,Minnesota Timberwolves
92,Atlanta Hawks,Oklahoma City Thunder
92,Milwaukee Bucks,Miami Heat
92,Denver Nuggets,Golden State Warriors
92,Los Angeles Lakers,Chicago Bulls
93,Detroit Pistons,Orlando Magic
93,Boston Celtics,Toronto Raptors
93,Houston Rockets,Brooklyn Nets
93,Memphis Grizzlies,Milwaukee Bucks
93,Dallas Mavericks,San Antonio Spurs
93,Portland Trail Blazers,Cleveland Cavaliers
93,Golden State Warriors,New Orleans Pelicans
